ACCE_ABSORB_COST	Pret Absorbtie: {}
WIKI_SUBCATEGORY_LV76_100	Lv 75-100
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_NO_TIMEOUT	Contul este gratuit
WIKI_SUBCATEGORY_CRYSTAL_DRAGON	Dragonul de cristal
WIKI_MONSTERINFO_IMMUNE_FALL	Cădere
WIKI_SUBCATEGORY_EVENT_CHESTS	Cufere pentru evenimente
LOGIN_PIN_SET_SUCCESSFULLY	PIN-ul dvs. a fost setat cu succes.
WIKI_SUBCATEGORY_RAZADOR	Razador
NO	Nu
QUEST_TIMER_QUESTITEM	Obiect de căutare
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_INVENTORY	inventar
ADMIN_MANAGER_OBSERVER_GENERAL_GOLD	Yang: {}
WIKI_SUBCATEGORY_BERAN_SETAOU	Beran Setaou
QUEST_TIMER_AVAILABLE	Disponibil
QUEST_TIMER_LOCKED	Blocat
WIKI_SUBCATEGORY_AZRAEL	Devilscatacomb
ADMIN_MANAGER_OBSERVER_GENERAL_NAME	Nume de familie: {}
WIKI_SUBCATEGORY_ZODIAC	Zodiac
PET_SKILL_TOOLTIP_REMOVAL	Îndepărtează imediat toate efectele, cum ar fi otrăvirea, încetinirea \r\r\n sau sângerarea cu o șansă de {}% \r\r\n dacă personajul tău este afectat.
WIKI_CATEGORY_CHESTS	Cufere
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_ONLINE	Pe net
WIKI_SUBCATEGORY_JOTUN_THRYM	Jotun Thrym
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_NO_NAME	Niciun nume dat.
QUEST_TIMER_SLIME	QUEST_TIMER_SLIME
ADMIN_MANAGER_BAN_ACCOUNT_UNBAN_NO_SELECTED	Niciun jucător selectat
ADMIN_MANAGER_OBSERVER_BAN_ACTIVATE_INVALID	Interzicerea activării este invalidă
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_PNAME_TOOLTIP	Numele jucatorului
PET_TOOLTIP_DEF	apărare
ADMIN_MANAGER_OBSERVER_GENERAL_SP	{} / {}
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_TYPE_PLAYER	Caut jucători
ADMIN_MANAGER_GENERAL_USER_COUNT	Jucător online: {}
WIKI_SUBCATEGORY_ALTERNATIVE_CHESTS	Cufere alternative
ADMIN_MANAGER_OBSERVER_GENERAL_LEVEL	Nivel: {}
QUEST_TIMER_GROUPREQ	Grupul necesar
PET_TOOLTIP_SKILL_NEXT_LEVEL	Nivelul următor: {} (max. {})
QUEST_TIMER_LOCKED_LEVEL	Cerințele de nivel nu sunt îndeplinite
WIKI_SUBCATEGORY_HAIRSTYLES	Coafuri
ADMIN_MANAGER_OBSERVER_RESTARTED	Monitorizarea {} a fost reluată.
TARGET_INFO_RACE_ZODIAC	Zodiac
ADMIN_MANAGER_BAN_CHAT_UNBAN_NO_SELECTED	Niciun jucător selectat
PET_TOOLTIP_LIFETIME_OVER	Expirat
ADMIN_MANAGER_ITEM_MAIN_SEARCH_NO_TEXT	Nimic specificat
ADMIN_MANAGER_OBSERVER_GENERAL_CHANNEL	Canal: {}
DESCRIPTION_EXAMPLE	Exemplu bla
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_ACCOUNTBAN	Interziceri anterioare {}
PET_TOOLTIP_TRADABLE	Comercializabile
WIKI_SUBCATEGORY_BOSS_HUNT	Vânătoare de șefi
ADMIN_MANAGER_OBSERVER_ITEM_TOOLTIP_ID	ID-ul itemului: {}
QUEST_TIMER_CURRENT	Actual
QUEST_TIMER_PASSAGETICKET	trece
QUEST_TIMER_AVAILABLE_TEXT	Disponibil
WIKI_SUBCATEGORY_THRANDUILS_LAIR	Thranduil
WIKI_MONSTERINFO_IMMUNE_REFLECT	Reflectați
WIKI_SUBCATEGORY_MOUNT	montură
WIKI_SUBCATEGORY_SHIPDEFENSE	Apărarea navei
ADMIN_MANAGER_OBSERVER_GENERAL_ACCOUNT	Cont: {} ({})
WIKI_SUBCATEGORY_HELMET	Căști
WIKI_SUBCATEGORY_COSTUME_SASH	Curele de umăr
ADMIN_MANAGER_OBSERVER_GENERAL_MAP_INFO	Hartă: {} ({})
WIKI_SUBCATEGORY_BRACELET	brăţară
TIMER_WARP_QUESTION	Chiar vrei să te teleportezi în temniță?
WIKI_SUBCATEGORY_APE_DUNGEON	Temniță de maimuță
WIKI_REFINEINFO_UPGRADE_COSTS	Uppkosten
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_GM_ITEM	Articol GM
WIKI_SUBCATEGORY_SHIELD	Scuturi
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_TIMEOUT	Contul este blocat pentru {}
PET_TOOLTIP_SKILL_CUR_LEVEL	Nivel: {}
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_NAME	{} (Lv {})
ADMIN_MANAGER_GENERAL_QUESTION_ACCEPT_WARP	Teleportați-vă
ADMIN_MANAGER_OBSERVER_DOUBLECLICK_INFO	Faceți dublu clic pe Traducere informații
QUEST_TIMER_BIOLOGREADY	Biolog gata
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_PLAYER_TEXT	{} ({})
QUEST_TIMER_REWARDS	Recompense
WIKI_CATEGORIES_TITLE	Titlu
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_GROUND	sol
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_PNAME	Numele jucatorului
ADMIN_MANAGER_OBSERVER_CHATBAN_ACTIVATE_INVALID	Trebuie să introduceți un timp de expirare.
WIKI_CATEGORY_METINSTONES	Pietre Metin
ADMIN_MANAGER_OBSERVER_REASON_INPUT_BAN1	Bantext1
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_ACCNAME	Logare {}
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_ONLINE	Pe net
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_CHATBAN	{} Blocuri de chat primite.
ADMIN_MANAGER_BAN_TYPE_CHAT	Interzicerea chatului
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_PID_TOOLTIP	ID-ul jucătorului
ADMIN_MANAGER_OBSERVER_GENERAL_HP	{} / {}
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_UNKNOWN	Fereastra necunoscută {}
WIKI_SUBCATEGORY_NECKLACE	un colier
ADMIN_MANAGER_OBSERVER_REASON_INPUT_UNBAN1	Unban1 text
GAME_PICK_ITEM	Primesti {} ({}).
ADMIN_MANAGER_OBSERVER_REASON_INPUT_UNBAN2	Unban2 text
QUEST_TIMER_LOCKED_COOLDOWN	Recuperarea nu a expirat
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_CHATBAN	Anterioare de chat {}
WIKI_SUBCATEGORY_LV76_105	Lv 76-105
PET_TOOLTIP_COSTUME_BONUS	PET_TOOLTIP_COSTUME_BONUS
WIKI_CHESTINFO_ORIGIN	origine
WIKI_MONSTERINFO_RESISTANCES	Rezistenţă
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_TITLE_BAN	Interziceți chatul
WIKI_SUBCATEGORY_GAYA	Gaya
ADMIN_MANAGER_BAN_TYPE_ACCOUNT	Interzicerea contului
WIKI_CATEGORY_BOSSES	Șefi
PET_SKILL_TOOLTIP_COOLTIME	Timp de recuperare: {} secunde
ADMIN_MANAGER_OBSERVER_GENERAL_SKILLGROUP	Predare: {}
WIKI_SUBCATEGORY_TALISMANS	Talismani
WIKI_SUBCATEGORY_RINGS	Inele
WIKI_SUBCATEGORY_ELIXIR	Elixire
WIKI_SUBCATEGORY_CONTER_BOOST	Conter Boost
ADMIN_MANAGER_GENERAL_QUESTION_TEXT	Doriți să monitorizați {}?
ADMIN_MANAGER_OBSERVER_REASON_INPUT_TITLE_UNBAN	Unban
WIKI_SUBCATEGORY_MELEY	Meley
WIKI_CATEGORY_SYSTEMS	Sisteme
QUEST_TIMER_INFO	info
ADMIN_MANAGER_MAPVIEWER_WARP_TEXT	Teleportați-vă către {}, {}.
WIKI_SUBCATEGORY_SPIDER_BARONESS	Baroana păianjen
BATTLEPASS_TEXT1	Free-Battlepass
BATTLEPASS_ID_2_NAME	Premium-Battlepass
BATTLEPASS_TEXT2	Stare: |cff82ff7d|H|hÎnchis|h|r
BATTLEPASS_TEXT3	Stare: |cfffeff7d|H|hRularea|h|r
BATTLEPASS_TEXT4	Procent {: .1f}%
BATTLEPASS_TEXT5	Nume de familie: {}
BATTLEPASS_TEXT6	Misiunea îndeplinită de {}
BATTLEPASS_TEXT7	Misiuni finalizate {}
BATTLEPASS_TEXT8	Timp rămas: |cfffeff7d|H|h{}|h|r
UIQUEST_TEXT1	Trebuie să aveți nivelul 75 sau mai mare pentru a intra în această zonă!
TOOLTIP_TEXT1	Monede
TOOLTIP_TEXT2	(butx) - Deschideți fereastra de stare
TOOLTIP_TEXT3	(bctrl) - Vedeți o previzualizare
TOOLTIP_TEXT4	(bshift) + (mleft) - Pentru a împărți
TOOLTIP_TEXT5	(mright) - Faceți clic pentru a dezactiva
TOOLTIP_TEXT6	(mright) - Faceți clic pentru a activa
TOOLTIP_TEXT7	(bctrl) + (mright) - Pentru a deschide 50
TOOLTIP_TEXT8	(mright) - Treceți la inventar
TOOLTIP_TEXT9	(bctrl) + (mright) - Mutați în caseta de siguranță
TOOLTIP_TEXT10	(balt) - Afișați în wiki
TOOLTIP_TEXT11	Cantitatea de alimente: {}
TOOLTIP_LEVEL_PET_NEEDED_FOOD	Mâncare necesară: {}
TOOLTIP_LEVEL_PET_LEVEL_HIGHER_THAN_PLAYER	Your Pet is higher in level than your character.
TOOLTIP_TEXT12	Puncte de stare {}
TOOLTIP_TEXT13	{} Puncte pe nivel
WORLDBOSS_TEXT1	Zilnic la {}
WORLDBOSS_TEXT2	{} la {}


WORLD_BOSS_INFO_NAME	Boss-Name
WORLD_BOSS_INFO_SPAWN_LOCATIONS	Spawn-Map
WORLD_BOSS_DAILY_AT	Daily at
WORLD_BOSS_SPAWNS_IN	Spawns in {}
INTROLOGIN_TEXT1	Select Language
MOUNT_POSTIFX	's Mount
PET_POSTIFX	's Pet
MOUNT_STRING	's Mount
MAP_SNOW_QUEEN	Shiva
MAP_DRAGON_FIRE	Ragnarok
MAP_GREENSCREEN	Greenscreen
MAP_GARDEN	Pukei
MAP_OWL	Jagras
MAP_DEEP_CAVE	Barroth
MAP_AQUA	Aqua
MAP_ARTEMIS	Artemis
MAP_WORLDBOSS1	Worldboss (PvP)
MAP_WORLDBOSS2	Worldboss (PvM)
MAP_NEVERLAND	Rathian
MAP_WOOD	Odogaron
MAP_ICESTORM	Kadashi
MAP_SHIPDEFENSE	Schiffsverteidigung
MAP_SHIPPORT	Schiffsport
MAP_SOLITARY	Eden
MAP_LDK	Terra
FISHING_RENEWAL_CANNOT_EMOTION	Du kannst keine Emotionen verwenden, während du angelst.
FISHING_RENEWAL_CANNOT_OPEN_1	Du kannst es nicht öffnen, während du angelst.
FISHING_RENEWAL_CANNOT_OPEN_2	Du kannst diese Aktion nicht ausführen, während du angelst.
FISHING_RENEWAL_QUESTION	Ein Fisch hat angebissen. Möchtest du ihn fangen?
FISHING_RENEWAL_TIMEOUT	Du hast zu lange gezögert. Der Fisch ist entwischt.
CREATE_SERVER_ERROR	Etwas ist schiefgelaufen, probiere es später erneut.
CREATE_ERROR_BLOCKED	Das Erstellen von Charakteren ist deaktiviert.
CREATE_ERROR_LOGIN_NAME	Du kannst deinen Accountnamen nicht als Charakternamen nehmen.
CREATE_ERROR_LEVEL_LIMIT	Levelvoraussetzungen für diese Rasse nicht erfüllt.
CREATE_ERROR_ALREADY	Es existiert bereits ein Charakter mit diesem Namen.
CREATE_ERROR_ALREADY_SLOT	Es existiert bereits ein Charakter auf diesem Slot.
CREATE_ERROR_GM_BLOCKED	Du kannst dich nicht so nennen.
CREATE_ERROR_NAME_LENGTH	Dieser Name ist zu lang.
CREATE_ERROR_RACE_BLOCKED	Diese Rasse ist deaktiviert.
CREATE_ERROR_TIME_LIMIT	Du kannst nur alle 30 Sekunden einen Charakter erstellen.
CREATE_ERROR_FULL_ACCOUNT	Dein Account ist voll.
CREATE_ERROR_INVALID_RACE	Diese Rasse existiert nicht.
CREATE_ERROR_INVALID_SHAPE	Du kannst dieses Aussehen nicht wählen.
CREATE_ERROR_INVALID_NAME	Dein Charaktername enthält nicht erlaubte oder sich mehrfach wiederholende Zeichen.
CREATE_ERROR_INVALID_EMPIRE	Dieses Reich existiert nicht.
ROULETTE_REWARD_TEXT	Gegenstand erhalten
SKILL_TREE_POINTS	Arborele abilităților puncte
WIKI_SUBCATEGORY_SKILLTREE	Arborele abilităților & Misiuni de vânătoare
WIKI_SUBCATEGORY_TITLEITEM	Sistem de titluri
WIKI_SUBCATEGORY_RANKSYSTEM	Sistem de rang
WIKI_SUBCATEGORY_PETSYSTEM	Sistem de animale
WIKI_SUBCATEGORY_DAILYREWARD	Sistem de recompense zilnice
CUBE_RENEWAL_POTION	Elixir
CUBE_RENEWAL_WEAPON	Armă
CUBE_RENEWAL_ARMOR	Armură
CUBE_RENEWAL_ACCESSORIES	Accesorii
CUBE_RENEWAL_ETC	Generel
TOOLTIP_AFFECT_BATTLE_PASS	Battlepass
TOOLTIP_REFINED_TO	will be improved to
TOOLTIP_REFINE_FROM	will be improved from
CLIENT_RESTART_REQUIRED	Need a Client-Restart.
TOOLTIP_REQUIRED_COUNT	Count: {}
TOOLTIP_DROP_STATE	Drop-Status: {}
DROP_STATE_ENABLED	activated
DROP_STATE_DISABLED	deactivated
TOOLTIP_AFFECT_PREMIUM_SWITCHBOT	Premium-Switchbot
TOOLTIP_AFFECT_VOTE_BONUS	Vote4Buff
GUILD	Guild
WARBOARD_KILLS	Kills
WARBOARD_MVP	MVP
WARBOARD_GUILD_KILLS	Kills
WARBOARD_DEATHS	Deaths
WARBOARD_LEVEL	Level
WARBOARD_TOTAL_DAMAGE	Total Damage
YOU_NEED_TO_RESTART_YOUR_CLIENT	VERY IMPORTANT! A Client-Restart is needed to activate your settings.
HUNTING_MISSIONS_HUNT_1	Vânătoare {}x {}
HUNTING_MISSIONS_HUNT_2	să-ți obții recompensa..
HUNTING_MISSIONS_REQUIRED_MISSIONS	Min. Level {}
POPUP_PLAYER_ONLINE	Prietenul tău {} este acum online
POPUP_GUILD_MEMBER_ONLINE	Membru din breslei tale {} este acum online.
POPUP_GM_ONLINE	Un membru al echipei {} este acum online.
TOOLTIP_DROP_COUNT	Count: {}
TOOLTIP_RARITY	{}
TOOLTIP_EXP_BONUS	EXP-Bonus: {}%
WIKI_CATEGORIES_TITLE	Titlu
WIKI_CATEGORY_BOSSES	Șefi
WIKI_CATEGORY_CHESTS	Cufere
WIKI_CATEGORY_COSTUMES	Costume
WIKI_CATEGORY_DUNGEONS	Temnițe
WIKI_CATEGORY_EQUIPEMENT	Echipament
WIKI_CATEGORY_EVENTS	Evenimente
WIKI_CATEGORY_GUIDES	Ghiduri
WIKI_CATEGORY_METINSTONES	Pietre Metin
WIKI_CATEGORY_MONSTERS	Monstru
WIKI_CATEGORY_SYSTEMS	Sisteme
WIKI_CHESTINFO_COMMON_DROP	Alternative Drop
WIKI_CHESTINFO_CONTENTOF	Conține din {}
WIKI_CHESTINFO_ORIGIN	Origine
WIKI_ITEMINFO_OPTAINEDFROM	Obtinut de la
WIKI_ITEMINFO_REFINEINFO	Refine Info {}
WIKI_MONSTERINFO_DMG_HP	Damage {} - {} (Max-HP {})
WIKI_MONSTERINFO_DROPLISTOF	Drop List {}
WIKI_MONSTERINFO_GOLD_EXP	Yang {} - {} EXP {}
WIKI_MONSTERINFO_IMMUNE_CURSE	Curse
WIKI_MONSTERINFO_IMMUNE_FALL	Fall
WIKI_MONSTERINFO_IMMUNE_NOTHING	Nothing
WIKI_MONSTERINFO_IMMUNE_POISON	Poison
WIKI_MONSTERINFO_IMMUNE_REFLECT	Reflect
WIKI_MONSTERINFO_IMMUNE_SLOW	Slowing
WIKI_MONSTERINFO_IMMUNE_STUN	blackouts
WIKI_MONSTERINFO_IMMUNE_TERROR	Fear
WIKI_MONSTERINFO_IMMUNE_TO	Defence against {}
WIKI_MONSTERINFO_LEVEL	Level {}
WIKI_MONSTERINFO_RESISTANCES	Resistance
WIKI_MONSTERINFO_STATISTICSOF	Statics from {}
WIKI_REFINEINFO_ITEM_LEVEL	Item Level {}
WIKI_REFINEINFO_UPGRADE_COSTS	Upp Costs
WIKI_REFINEINFO_YANG_COSTS	Gold Costs
WIKI_SUBCATEGORY_105_AND_NOW	105 and now?
WIKI_SUBCATEGORY_ALTERNATIVE_CHESTS	Cufere alternative
WIKI_SUBCATEGORY_APE_DUNGEON	Temniță de maimuță
WIKI_SUBCATEGORY_ARMOR	Armură
WIKI_SUBCATEGORY_AZRAEL	Devilscatacomb
WIKI_SUBCATEGORY_BATTLEPASS	Battlepass
WIKI_SUBCATEGORY_BELTS	Curea
WIKI_SUBCATEGORY_BERAN_SETAOU	Beran Setaou
WIKI_SUBCATEGORY_BOSS_HUNT	Vânătoare de șefi
WIKI_SUBCATEGORY_BRACELET	Încheieturi
WIKI_SUBCATEGORY_CHESTS	Cufere
WIKI_SUBCATEGORY_CONTER_BOOST	Conter Boost
WIKI_SUBCATEGORY_COSTUMES	Costume
WIKI_SUBCATEGORY_COSTUME_SASH	Bandaj
WIKI_SUBCATEGORY_CRYSTAL_DRAGON	Dragonul de cristal
WIKI_SUBCATEGORY_DAILYREWARD	Sistem de recompense zilnice
WIKI_SUBCATEGORY_DEMONTOWER	Deviltower
WIKI_SUBCATEGORY_DRAGONALCHEMY	System-Guides
WIKI_SUBCATEGORY_EARRINGS	Cercei
WIKI_SUBCATEGORY_ELIXIR	Elixire
WIKI_SUBCATEGORY_EMPIRE_WAR	Războiul Imperial
WIKI_SUBCATEGORY_EVENT_CHESTS	Eveniment Cufere
WIKI_SUBCATEGORY_FISHPUZZLE	Puzzle pește
WIKI_SUBCATEGORY_GAYA	Gaya
WIKI_SUBCATEGORY_HAIRSTYLES	Coafuri
WIKI_SUBCATEGORY_HELMET	Cască
WIKI_SUBCATEGORY_HEXAGONAL_CHESTS	Cufere
WIKI_SUBCATEGORY_JOTUN_THRYM	Jotun Thrym
WIKI_SUBCATEGORY_LV100	Lv 100
WIKI_SUBCATEGORY_LV1_75	All
WIKI_SUBCATEGORY_LV76_100	Lv 75-100
WIKI_SUBCATEGORY_LV76_105	Lv 76-105
WIKI_SUBCATEGORY_MELEY	Meley
WIKI_SUBCATEGORY_MOONLIGHT_CHESTS	Cufere cu comori la lumina lunii
WIKI_SUBCATEGORY_MOUNT	montură
WIKI_SUBCATEGORY_NECKLACE	Colier
WIKI_SUBCATEGORY_NEMERE	Nemere
WIKI_SUBCATEGORY_OKAY_CARD	Okay Cards
WIKI_SUBCATEGORY_ORCMAZE	Dungeon-Guide
WIKI_SUBCATEGORY_PET	Animal
WIKI_SUBCATEGORY_PETSYSTEM	Sistem de animale
WIKI_SUBCATEGORY_PVP_TOURNAMENT	PvP Turneu
WIKI_SUBCATEGORY_RANKSYSTEM	Sistem de rang
WIKI_SUBCATEGORY_RAZADOR	Razador
WIKI_SUBCATEGORY_RINGS	Inele
WIKI_SUBCATEGORY_RUNES	Rune
WIKI_SUBCATEGORY_SHIELD	Scuturi
WIKI_SUBCATEGORY_SHIPDEFENSE	Apărarea navei
WIKI_SUBCATEGORY_SHOES	Pantofi
WIKI_SUBCATEGORY_SHOULDER_SASH	Bandaj
WIKI_SUBCATEGORY_SKILLTREE	Arborele abilităților & Misiuni de vânătoare
WIKI_SUBCATEGORY_SKILL_COLOR	Culoare abilități
WIKI_SUBCATEGORY_SPIDER_BARONESS	Baroana păianjen
WIKI_SUBCATEGORY_TAG_TEAM	Eticheta echipa
WIKI_SUBCATEGORY_TALISMANS	Talisman
WIKI_SUBCATEGORY_THE_START	Inceputul
WIKI_SUBCATEGORY_THRANDUILS_LAIR	Thranduil
WIKI_SUBCATEGORY_TITLEITEM	Sistem de titluri
WIKI_SUBCATEGORY_WEAPONS	Armă
WIKI_SUBCATEGORY_ZODIAC	Zodiac
WIKI_TITLENAME	Wiki
TOOLTIP_DEACTIVATE_TO_OPEN_PET_STATUS	Dezactivați pentru a putea deschide fereastra de stare.
TOOLTIP_KEY_TO_BUY_MULTIPLE_FROM_SHOP	(bshift) - Cumpărați mai multe
DUNGEON_NO_NAME	Unknown
DUNGEON_TYPE_TEXT	Category: {}
DUNGEON_TYPE_PRIVATE	Private
DUNGEON_TYPE_PUBLIC	Public
DUNGEON_ORG_TEXT	Version: {}
DUNGEON_ORG_SINGLE	Single
DUNGEON_ORG_PARTY	Party
DUNGEON_ORG_HYBRID	Single/Party
DUNGEON_LEVEL_LIMIT_TEXT	Levellimit: {} - {}
DUNGEON_PARTY_LIMIT_TEXT	Membercount:
DUNGEON_COOLDOWN_TEXT	Cooldown: {}
DUNGEON_AVAILTIME_TEXT	Time: {}
DUNGEON_ENTRANCE_TEXT	Entry: {}
DUNGEON_ST_RACEFLAG_TEXT	Race: {}
DUNGEON_RES_RACEFLAG_TEXT	Defence: {}
DUNGEON_PERS_COUNT_TEXT	Completed: {}
DUNGEON_FASTEST_TIME_TEXT	Quickest Run: {}
DUNGEON_HIGHEST_DMG_TEXT	Highest Boss Damage: {}
DUNGEON_RF_EMPTY	None
DUNGEON_RF_ANIMAL	Rathalos
DUNGEON_RF_UNDEAD	Undead
DUNGEON_RF_DEVIL	Devil
DUNGEON_RF_HUMAN	Halfhuman
DUNGEON_RF_ORC	Fatalis
DUNGEON_RF_MILGYO	Gods
DUNGEON_RF_INSECT	Insect
DUNGEON_RF_SHADOW	Shadow
DUNGEON_RF_CZ	Zodiac
DUNGEON_RF_ELEC	Elec
DUNGEON_RF_FIRE	Fire
DUNGEON_RF_ICE	Ice
DUNGEON_RF_WIND	Wind
DUNGEON_RF_EARTH	Earth
DUNGEON_RF_DARK	Darkness
DUNGEON_RANKING_TITLE	Ranking
DUNGEON_RANKING_TITLE_2	Category
DUNGEON_TITLE_TYPE_COUNT	Count
DUNGEON_TITLE_TYPE_TIME	Time
DUNGEON_TITLE_TYPE_DMG	Damage
DUNGEON_TYPE_COUNT	Completed
DUNGEON_TYPE_TIME	Quickest Run
DUNGEON_TYPE_DMG	Highest Boss Damage
MAP_SHADOW_TOWER	Vaal Hazak
MAP_DIABLOS	Diablos
MAP_PYRA	Kulve Taroth
MAP_DEMON	Kushala Daora
TOOLTIP_APPLY_ATTBONUS_SHADOW	Strong Against Shadow +{}%
MAP_EASTER	Easter-Event
PRIVATESHOPSEARCH_TALISMAN	Talisman
PRIVATESHOPSEARCH_TOGGLE_AFFECT	Elixir
PRIVATESHOPSEARCH_COSTUME_WEAPON_EFFECT	Weapon Shinings
PRIVATESHOPSEARCH_COSTUME_ARMOR_EFFECT	Armour Shinings
PRIVATESHOPSEARCH_COSTUME_WING	Wings
PRIVATESHOPSEARCH_COSTUME_TITLE	Titles
PRIVATESHOPSEARCH_PETS_N_MOUNT	Pets & Mounts
PRIVATESHOPSEARCH_LEVEL_PET	Level-Pets
PRIVATESHOPSEARCH_LEVEL_PET_FOOD	Level-Pet-Food
PRIVATESHOPSEARCH_NORMAL_PET	Normal Pets
PRIVATESHOPSEARCH_MOUNT	Mounts
PRIVATESHOPSEARCH_USEFUL_ITEMS	Useful Items
PRIVATESHOPSEARCH_QUEST_ITEMS	Quest Items
PRIVATESHOPSEARCH_USABLE_ITEMS	Usable Items
PRIVATESHOPSEARCH_TIME_ENHANCEMENT	Time Enhancement
PRIVATESHOPSEARCH_SKILLBOOKS	Skillbooks
PRIVATESHOPSEARCH_ACESSORY	Acesorry
PRIVATESHOPSEARCH_FISHING_BAIT	Fishing Bait
PRIVATESHOPSEARCH_FISH	Fish
TOOLTIP_ANTIFLAG_CHANGELOOK	Transmutation
MAP_SLIME_LOW	Anime-Event (20-55)
MAP_SLIME_MID	Anime-Event (100-125)
MAP_SLIME_HIGH	Anime-Event (150)
MAP_SLIME_EXTREME	Anime-Event (150+)
GAME_DUNGEON_REJOIN	Möchtest du Zurück in den Dungeon?
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_SHOPPING	You cannot move items while you are in a Shop.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_EDITING	You cannot move items while you are in a Shop.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_CREATING	You cannot move items while you are in a Shop.
MAP_RATHALOS	Rathalos
MAP_FATALIS	Fatalis
HUNTING_MISSION_1_NAME	Kill Run-End-Bosses
HUNTING_MISSION_2_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_3_NAME	Kill Run-End-Bosses
HUNTING_MISSION_4_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_5_NAME	Kill Run-End-Bosses
HUNTING_MISSION_6_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_7_NAME	Kill Run-End-Bosses
HUNTING_MISSION_8_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_9_NAME	Kill Run-End-Bosses
HUNTING_MISSION_10_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_11_NAME	Kill Run-End-Bosses
HUNTING_MISSION_12_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_13_NAME	Kill Run-End-Bosses
HUNTING_MISSION_14_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_15_NAME	Kill Run-End-Bosses
HUNTING_MISSION_16_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_17_NAME	Kill Run-End-Bosses
HUNTING_MISSION_18_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_19_NAME	Kill Run-End-Bosses
HUNTING_MISSION_20_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_21_NAME	Kill Run-End-Bosses
HUNTING_MISSION_22_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_23_NAME	Kill Run-End-Bosses
HUNTING_MISSION_24_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_25_NAME	Kill Run-End-Bosses
HUNTING_MISSION_26_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_27_NAME	Kill Run-End-Bosses
HUNTING_MISSION_28_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_29_NAME	Kill Run-End-Bosses
HUNTING_MISSION_30_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_31_NAME	Kill Run-End-Bosses
HUNTING_MISSION_32_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_33_NAME	Kill Run-End-Bosses
HUNTING_MISSION_34_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_35_NAME	Kill Run-End-Bosses
HUNTING_MISSION_36_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_37_NAME	Kill Run-End-Bosses
HUNTING_MISSION_38_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_39_NAME	Kill Run-End-Bosses
HUNTING_MISSION_40_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_41_NAME	Kill Run-End-Bosses
HUNTING_MISSION_42_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_43_NAME	Kill Run-End-Bosses
HUNTING_MISSION_44_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_45_NAME	Kill Run-End-Bosses
HUNTING_MISSION_46_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_47_NAME	Kill Run-End-Bosses
HUNTING_MISSION_48_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_49_NAME	Kill Run-End-Bosses
HUNTING_MISSION_50_NAME	Kill Farmmap-Metinstones
