ACCE_ABSORB_COST	Costo dell'assorbimento: {}
ADMIN_MANAGER_OBSERVER_BAN_ACTIVATE_INVALID	Ban activate invalid
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_PNAME_TOOLTIP	Spielername
ADMIN_MANAGER_OBSERVER_GENERAL_SP	{} / {}
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_TYPE_PLAYER	Suche Spieler
ADMIN_MANAGER_GENERAL_USER_COUNT	Spieleronline: {}
WIKI_SUBCATEGORY_ALTERNATIVE_CHESTS	Alternative Truhen
ADMIN_MANAGER_OBSERVER_GENERAL_LEVEL	Level: {}
QUEST_TIMER_GROUPREQ	Gruppe benötigt
WIKI_SUBCATEGORY_LV76_100	Lv 75-100
WIKI_SUBCATEGORY_HAIRSTYLES	Frisuren
ADMIN_MANAGER_OBSERVER_RESTARTED	Die Überwachung von {} wurde wieder aufgenommen.
TARGET_INFO_RACE_ZODIAC	Zodiak
WIKI_SUBCATEGORY_LV76_105	Lv 76-105
ADMIN_MANAGER_ITEM_MAIN_SEARCH_NO_TEXT	Nichts angegeben
ADMIN_MANAGER_OBSERVER_GENERAL_CHANNEL	Channel: {}
DESCRIPTION_EXAMPLE	Example bla
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_ACCOUNTBAN	Bisherige Banns {}
WIKI_SUBCATEGORY_BOSS_HUNT	Boss Hunt
ADMIN_MANAGER_OBSERVER_ITEM_TOOLTIP_ID	Item-ID: {}
QUEST_TIMER_CURRENT	Aktuell
QUEST_TIMER_PASSAGETICKET	Passierschein
QUEST_TIMER_AVAILABLE_TEXT	Verfügbar
WIKI_SUBCATEGORY_THRANDUILS_LAIR	Thranduil
WIKI_MONSTERINFO_IMMUNE_REFLECT	Reflektieren
WIKI_SUBCATEGORY_MOUNT	Mount
WIKI_SUBCATEGORY_SHIPDEFENSE	Schiffsverteidigung
ADMIN_MANAGER_OBSERVER_GENERAL_ACCOUNT	Account: {} ({})
WIKI_SUBCATEGORY_HELMET	Helme
WIKI_SUBCATEGORY_COSTUME_SASH	Schulterbänder
ADMIN_MANAGER_OBSERVER_GENERAL_MAP_INFO	Karte: {} ({})
WIKI_SUBCATEGORY_BRACELET	Armband
TIMER_WARP_QUESTION	Willst du wirklich zum Dungeon teleportieren?
WIKI_SUBCATEGORY_APE_DUNGEON	Affendungeon
WIKI_REFINEINFO_UPGRADE_COSTS	Uppkosten
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_GM_ITEM	GM Item
WIKI_SUBCATEGORY_SHIELD	Schilde
ADMIN_MANAGER_OBSERVER_REASON_INPUT_TITLE_UNBAN	Unban
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_NAME	{}(Lv {})
ADMIN_MANAGER_GENERAL_QUESTION_ACCEPT_WARP	Teleportieren
ADMIN_MANAGER_OBSERVER_DOUBLECLICK_INFO	Doppelklick Info Translate
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_MALL	ItemShop-Lager
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_PLAYER_TEXT	{}({})
QUEST_TIMER_REWARDS	Belohnungen
SWITCHBOT_NEWTEXT5	Ziehe den Bot an den Rand, um ihn zu verkleinern!
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_GROUND	Boden
ADMIN_MANAGER_ITEM_MAIN_SEARCH_TYPE_PNAME	Spielername
ADMIN_MANAGER_OBSERVER_CHATBAN_ACTIVATE_INVALID	Du musst eine Ablaufzeit angeben.
WIKI_CATEGORY_METINSTONES	Metinsteine
ADMIN_MANAGER_OBSERVER_REASON_INPUT_BAN1	Bantext1
ADMIN_MANAGER_BAN_ACCOUNT_TOOLTIP_ACCNAME	Login {}
SWITCHBOT_NEWTEXT3	Neue Ideen werden immer gerne gesehen!
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_ONLINE	Online
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_CHATBAN	{} Chatblocks erhalten.
ADMIN_MANAGER_BAN_TYPE_CHAT	Chatbann
ADMIN_MANAGER_OBSERVER_GENERAL_HP	{} / {}
ADMIN_MANAGER_ITEM_MAIN_RESULT_WINDOW_UNKNOWN	Unbekanntes Fenster {}
WIKI_SUBCATEGORY_NECKLACE	Halskette
ADMIN_MANAGER_OBSERVER_REASON_INPUT_UNBAN1	Unban1 Text
GAME_PICK_ITEM	You receive {} ({}).
ADMIN_MANAGER_OBSERVER_REASON_INPUT_UNBAN2	Unban2 Text
QUEST_TIMER_LOCKED_COOLDOWN	Cooldown nicht abgelaufen
ADMIN_MANAGER_BAN_PLAYER_TOOLTIP_CHATBAN	Bisherige Chatbanns {}
WIKI_CHESTINFO_ORIGIN	Ursprung
WIKI_MONSTERINFO_RESISTANCES	Resistance
ADMIN_MANAGER_BAN_CHAT_REASON_INPUT_TITLE_BAN	Vom Chat bannen
WIKI_SUBCATEGORY_GAYA	Gaya
ADMIN_MANAGER_BAN_TYPE_ACCOUNT	Account-Bann
WIKI_CATEGORY_BOSSES	Bosse
ADMIN_MANAGER_OBSERVER_GENERAL_SKILLGROUP	Lehre: {}
SWITCHBOT_NEWTEXT1	Nachkaufen aktivieren
WIKI_SUBCATEGORY_CONTER_BOOST	Conter Boost
SWITCHBOT_NEWTEXT2	Dieser Switchbot wurde von Mijago entwickelt.
ADMIN_MANAGER_GENERAL_QUESTION_TEXT	Möchtest du {} überwachen?
SWITCHBOT_NEWTEXT4	Ziehe ein Item hierher, um es hinzuzufügen.
SWITCHBOT_NEWTEXT7	Stop ALLE Vorgänge!
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_TIMEOUT	Account ist gesperrt für {}
WIKI_SUBCATEGORY_MELEY	Meley
WIKI_CATEGORY_SYSTEMS	Systeme
QUEST_TIMER_INFO	Info
WIKI_SUBCATEGORY_SPIDER_BARONESS	Spinnenbaroness
BATTLEPASS_TEXT1	Free-Battlepass
BATTLEPASS_ID_2_NAME	Premium-Battlepass
BATTLEPASS_TEXT2	Status: |cff82ff7d|H|hAbgeschlossen|h|r
BATTLEPASS_TEXT3	Status: |cfffeff7d|H|hLäuft|h|r
BATTLEPASS_TEXT4	Prozent {:.1f}%
BATTLEPASS_TEXT5	Name: {}
BATTLEPASS_TEXT6	Mission bis {} fertig
BATTLEPASS_TEXT7	Missionen fertig {}
BATTLEPASS_TEXT8	Zeit verbleibend: |cfffeff7d|H|h{}|h|r
UIQUEST_TEXT1	You need to be level 75 or higher to enter this area!
TOOLTIP_TEXT1	Coins
TOOLTIP_TEXT2	(butx) - Open Status Window
TOOLTIP_TEXT3	(bctrl) - Vedi anteprima
TOOLTIP_TEXT4	(bshift) + (mleft) - Per Dividere
TOOLTIP_TEXT5	(mright) - Clicca per Disattivare
TOOLTIP_TEXT6	(mright) - Clicca per Attivare
TOOLTIP_TEXT7	(bctrl) + (mright) - To open 50
TOOLTIP_TEXT8	(mright) - Move to inventory
TOOLTIP_TEXT9	(bctrl) + (mright) - Move to safebox
TOOLTIP_TEXT10	(balt) - Mostra nella Wiki
TOOLTIP_TEXT11	Amount of Food: {}
TOOLTIP_LEVEL_PET_NEEDED_FOOD	Required Food: {}
TOOLTIP_LEVEL_PET_LEVEL_HIGHER_THAN_PLAYER	Your Pet is higher in level than your character.
TOOLTIP_TEXT12	Status points {}
TOOLTIP_TEXT13	{} Punti per livello
WORLDBOSS_TEXT1	Daily at {}
WORLDBOSS_TEXT2	{} at {}

WORLD_BOSS_INFO_NAME	Boss-Name
WORLD_BOSS_INFO_SPAWN_LOCATIONS	Spawn-Map
WORLD_BOSS_DAILY_AT	Daily at
WORLD_BOSS_SPAWNS_IN	Spawns in {}
INTROLOGIN_TEXT1	Select Language
MOUNT_POSTIFX	's Mount
PET_POSTIFX	's Pet
MOUNT_STRING	's Mount
MAP_SNOW_QUEEN	Shiva
MAP_DRAGON_FIRE	Ragnarok
MAP_GREENSCREEN	Greenscreen
MAP_GARDEN	Pukei
MAP_OWL	Jagras
MAP_DEEP_CAVE	Barroth
MAP_AQUA	Aqua
MAP_ARTEMIS	Artemis
MAP_WORLDBOSS1	Worldboss (PvP)
MAP_WORLDBOSS2	Worldboss (PvM)
MAP_NEVERLAND	Rathian
MAP_WOOD	Odogaron
MAP_ICESTORM	Kadashi
MAP_SHIPDEFENSE	Schiffsverteidigung
MAP_SHIPPORT	Schiffsport
MAP_SOLITARY	Eden
MAP_LDK	Terra
FISHING_RENEWAL_CANNOT_EMOTION	Du kannst keine Emotionen verwenden, während du angelst.
FISHING_RENEWAL_CANNOT_OPEN_1	Du kannst es nicht öffnen, während du angelst.
FISHING_RENEWAL_CANNOT_OPEN_2	Du kannst diese Aktion nicht ausführen, während du angelst.
FISHING_RENEWAL_QUESTION	Ein Fisch hat angebissen. Möchtest du ihn fangen?
FISHING_RENEWAL_TIMEOUT	Du hast zu lange gezögert. Der Fisch ist entwischt.
CREATE_SERVER_ERROR	Etwas ist schiefgelaufen, probiere es später erneut.
CREATE_ERROR_BLOCKED	Das Erstellen von Charakteren ist deaktiviert.
CREATE_ERROR_LOGIN_NAME	Du kannst deinen Accountnamen nicht als Charakternamen nehmen.
CREATE_ERROR_LEVEL_LIMIT	Levelvoraussetzungen für diese Rasse nicht erfüllt.
CREATE_ERROR_ALREADY	Es existiert bereits ein Charakter mit diesem Namen.
CREATE_ERROR_ALREADY_SLOT	Es existiert bereits ein Charakter auf diesem Slot.
CREATE_ERROR_GM_BLOCKED	Du kannst dich nicht so nennen.
CREATE_ERROR_NAME_LENGTH	Dieser Name ist zu lang.
CREATE_ERROR_RACE_BLOCKED	Diese Rasse ist deaktiviert.
CREATE_ERROR_TIME_LIMIT	Du kannst nur alle 30 Sekunden einen Charakter erstellen.
CREATE_ERROR_FULL_ACCOUNT	Dein Account ist voll.
CREATE_ERROR_INVALID_RACE	Diese Rasse existiert nicht.
CREATE_ERROR_INVALID_SHAPE	Du kannst dieses Aussehen nicht wählen.
CREATE_ERROR_INVALID_NAME	Dein Charaktername enthält nicht erlaubte oder sich mehrfach wiederholende Zeichen.
CREATE_ERROR_INVALID_EMPIRE	Dieses Reich existiert nicht.
ROULETTE_REWARD_TEXT	Gegenstand erhalten
SKILL_TREE_POINTS	Skilltree Points
WIKI_SUBCATEGORY_SKILLTREE	Skilltree & Huntingquest
WIKI_SUBCATEGORY_TITLEITEM	Titlesystem
WIKI_SUBCATEGORY_RANKSYSTEM	Ranksystem
WIKI_SUBCATEGORY_PETSYSTEM	Petsystem
WIKI_SUBCATEGORY_DAILYREWARD	Daily-Reward-System
CUBE_RENEWAL_POTION	Elixir
CUBE_RENEWAL_WEAPON	Weapon
CUBE_RENEWAL_ARMOR	Armour
CUBE_RENEWAL_ACCESSORIES	Accessory
CUBE_RENEWAL_ETC	Generel
TOOLTIP_AFFECT_BATTLE_PASS	Battlepass
TOOLTIP_REFINED_TO	will be improved to
TOOLTIP_REFINE_FROM	will be improved from
CLIENT_RESTART_REQUIRED	Need a Client-Restart.
TOOLTIP_REQUIRED_COUNT	Count: {}
TOOLTIP_DROP_STATE	Drop-Status: {}
DROP_STATE_ENABLED	activated
DROP_STATE_DISABLED	deactivated
TOOLTIP_AFFECT_PREMIUM_SWITCHBOT	Premium-Switchbot
TOOLTIP_AFFECT_VOTE_BONUS	Vote4Buff
GUILD	Guild
WARBOARD_KILLS	Kills
WARBOARD_MVP	MVP
WARBOARD_GUILD_KILLS	Kills
WARBOARD_DEATHS	Deaths
WARBOARD_LEVEL	Level
WARBOARD_TOTAL_DAMAGE	Total Danno
YOU_NEED_TO_RESTART_YOUR_CLIENT	VERY IMPORTANT! A Client-Restart is needed to activate your settings.
HUNTING_MISSIONS_HUNT_1	Hunt {}x {}
HUNTING_MISSIONS_HUNT_2	to get your reward.
HUNTING_MISSIONS_REQUIRED_MISSIONS	Min. Level {}
POPUP_PLAYER_ONLINE	Your friend {} is now online.
POPUP_GUILD_MEMBER_ONLINE	Your guild member {} is now online.
POPUP_GM_ONLINE	A team member {} is now online.
TOOLTIP_DROP_COUNT	Count: {}
TOOLTIP_RARITY	{}
TOOLTIP_EXP_BONUS	EXP-Bonus: {}%
WIKI_CATEGORIES_TITLE	Title
WIKI_CATEGORY_BOSSES	Bosses
WIKI_CATEGORY_CHESTS	Chests
WIKI_CATEGORY_COSTUMES	Costume
WIKI_CATEGORY_DUNGEONS	Dungeons
WIKI_CATEGORY_EQUIPEMENT	Equipment
WIKI_CATEGORY_EVENTS	Events
WIKI_CATEGORY_GUIDES	Guides
WIKI_CATEGORY_METINSTONES	Metinstones
WIKI_CATEGORY_MONSTERS	Monster
WIKI_CATEGORY_SYSTEMS	Systems
WIKI_CHESTINFO_COMMON_DROP	Alternative Drop
WIKI_CHESTINFO_CONTENTOF	Contain from {}
WIKI_CHESTINFO_ORIGIN	Origin
WIKI_ITEMINFO_OPTAINEDFROM	Obtained from
WIKI_ITEMINFO_REFINEINFO	Refine Info {}
WIKI_MONSTERINFO_DMG_HP	Danno {} - {} (Max-HP {})
WIKI_MONSTERINFO_DROPLISTOF	Drop List {}
WIKI_MONSTERINFO_GOLD_EXP	Yang {} - {} EXP {}
WIKI_MONSTERINFO_IMMUNE_CURSE	Curse
WIKI_MONSTERINFO_IMMUNE_FALL	Fall
WIKI_MONSTERINFO_IMMUNE_NOTHING	Nothing
WIKI_MONSTERINFO_IMMUNE_POISON	Poison
WIKI_MONSTERINFO_IMMUNE_REFLECT	Reflect
WIKI_MONSTERINFO_IMMUNE_SLOW	Slowing
WIKI_MONSTERINFO_IMMUNE_STUN	blackouts
WIKI_MONSTERINFO_IMMUNE_TERROR	Fear
WIKI_MONSTERINFO_IMMUNE_TO	Defence against {}
WIKI_MONSTERINFO_LEVEL	Level {}
WIKI_MONSTERINFO_RESISTANCES	Resistance
WIKI_MONSTERINFO_STATISTICSOF	Statics from {}
WIKI_REFINEINFO_ITEM_LEVEL	Item Level {}
WIKI_REFINEINFO_UPGRADE_COSTS	Upp Costs
WIKI_REFINEINFO_YANG_COSTS	Gold Costs
WIKI_SUBCATEGORY_105_AND_NOW	105 and now?
WIKI_SUBCATEGORY_ALTERNATIVE_CHESTS	Alternative Chests
WIKI_SUBCATEGORY_APE_DUNGEON	Affendungeon
WIKI_SUBCATEGORY_ARMOR	Armour
WIKI_SUBCATEGORY_AZRAEL	Devilscatacomb
WIKI_SUBCATEGORY_BATTLEPASS	Battlepass
WIKI_SUBCATEGORY_BELTS	Belt
WIKI_SUBCATEGORY_BERAN_SETAOU	Beran Setaou
WIKI_SUBCATEGORY_BOSS_HUNT	Boss Hunt
WIKI_SUBCATEGORY_BRACELET	Wrists
WIKI_SUBCATEGORY_CHESTS	Chests
WIKI_SUBCATEGORY_CONTER_BOOST	Conter Boost
WIKI_SUBCATEGORY_COSTUMES	Costumes
WIKI_SUBCATEGORY_COSTUME_SASH	Sashes
WIKI_SUBCATEGORY_CRYSTAL_DRAGON	Kristalldrache
WIKI_SUBCATEGORY_DAILYREWARD	Daily-Reward-System
WIKI_SUBCATEGORY_DEMONTOWER	Deviltower
WIKI_SUBCATEGORY_DRAGONALCHEMY	System-Guides
WIKI_SUBCATEGORY_EARRINGS	Earrings
WIKI_SUBCATEGORY_ELIXIR	Elixirs
WIKI_SUBCATEGORY_EMPIRE_WAR	Reichskrieg
WIKI_SUBCATEGORY_EVENT_CHESTS	Event Chests
WIKI_SUBCATEGORY_FISHPUZZLE	Fishpuzzle
WIKI_SUBCATEGORY_GAYA	Gaya
WIKI_SUBCATEGORY_HAIRSTYLES	Hairstyles
WIKI_SUBCATEGORY_HELMET	Helmet
WIKI_SUBCATEGORY_HEXAGONAL_CHESTS	Chests
WIKI_SUBCATEGORY_JOTUN_THRYM	Jotun Thrym
WIKI_SUBCATEGORY_LV100	Lv 100
WIKI_SUBCATEGORY_LV1_75	All
WIKI_SUBCATEGORY_LV76_100	Lv 75-100
WIKI_SUBCATEGORY_LV76_105	Lv 76-105
WIKI_SUBCATEGORY_MELEY	Meley
WIKI_SUBCATEGORY_MOONLIGHT_CHESTS	Mondlichschatztruhen
WIKI_SUBCATEGORY_MOUNT	Mount
WIKI_SUBCATEGORY_NECKLACE	Necklace
WIKI_SUBCATEGORY_NEMERE	Nemere
WIKI_SUBCATEGORY_OKAY_CARD	Okay Cards
WIKI_SUBCATEGORY_ORCMAZE	Dungeon-Guide
WIKI_SUBCATEGORY_PET	Pet
WIKI_SUBCATEGORY_PETSYSTEM	Petsystem
WIKI_SUBCATEGORY_PVP_TOURNAMENT	PvP Tournament
WIKI_SUBCATEGORY_RANKSYSTEM	Ranksystem
WIKI_SUBCATEGORY_RAZADOR	Razador
WIKI_SUBCATEGORY_RINGS	Rings
WIKI_SUBCATEGORY_RUNES	Runes
WIKI_SUBCATEGORY_SHIELD	Shields
WIKI_SUBCATEGORY_SHIPDEFENSE	Schiffsverteidigung
WIKI_SUBCATEGORY_SHOES	Shoes
WIKI_SUBCATEGORY_SHOULDER_SASH	Sashes
WIKI_SUBCATEGORY_SKILLTREE	Skilltree & Huntingquest
WIKI_SUBCATEGORY_SKILL_COLOR	Skill Colour
WIKI_SUBCATEGORY_SPIDER_BARONESS	Spinnenbaroness
WIKI_SUBCATEGORY_TAG_TEAM	TagTeam
WIKI_SUBCATEGORY_TALISMANS	Talisman
WIKI_SUBCATEGORY_THE_START	Mega-Guide
WIKI_SUBCATEGORY_THRANDUILS_LAIR	Thranduil
WIKI_SUBCATEGORY_TITLEITEM	Titlesystem
WIKI_SUBCATEGORY_WEAPONS	Weapon
WIKI_SUBCATEGORY_ZODIAC	Zodiac
WIKI_TITLENAME	Wiki
TOOLTIP_DEACTIVATE_TO_OPEN_PET_STATUS	Deactivate to be able to open status window.
TOOLTIP_KEY_TO_BUY_MULTIPLE_FROM_SHOP	(bshift) - Buy multiple
DUNGEON_NO_NAME	Unknown
DUNGEON_TYPE_TEXT	Category: {}
DUNGEON_TYPE_PRIVATE	Private
DUNGEON_TYPE_PUBLIC	Public
DUNGEON_ORG_TEXT	Version: {}
DUNGEON_ORG_SINGLE	Single
DUNGEON_ORG_PARTY	Party
DUNGEON_ORG_HYBRID	Single/Party
DUNGEON_LEVEL_LIMIT_TEXT	Levellimit: {} - {}
DUNGEON_PARTY_LIMIT_TEXT	Membercount:
DUNGEON_COOLDOWN_TEXT	Cooldown: {}
DUNGEON_AVAILTIME_TEXT	Time: {}
DUNGEON_ENTRANCE_TEXT	Entry: {}
DUNGEON_ST_RACEFLAG_TEXT	Race: {}
DUNGEON_RES_RACEFLAG_TEXT	Defence: {}
DUNGEON_PERS_COUNT_TEXT	Completed: {}
DUNGEON_FASTEST_TIME_TEXT	Quickest Run: {}
DUNGEON_HIGHEST_DMG_TEXT	Highest Boss Danno: {}
DUNGEON_RF_EMPTY	None
DUNGEON_RF_ANIMAL	Rathalos
DUNGEON_RF_UNDEAD	Undead
DUNGEON_RF_DEVIL	Devil
DUNGEON_RF_HUMAN	Halfhuman
DUNGEON_RF_ORC	Fatalis
DUNGEON_RF_MILGYO	Gods
DUNGEON_RF_INSECT	Insect
DUNGEON_RF_SHADOW	Shadow
DUNGEON_RF_CZ	Zodiac
DUNGEON_RF_ELEC	Elec
DUNGEON_RF_FIRE	Fire
DUNGEON_RF_ICE	Ice
DUNGEON_RF_WIND	Wind
DUNGEON_RF_EARTH	Earth
DUNGEON_RF_DARK	Darkness
DUNGEON_RANKING_TITLE	Ranking
DUNGEON_RANKING_TITLE_2	Category
DUNGEON_TITLE_TYPE_COUNT	Count
DUNGEON_TITLE_TYPE_TIME	Time
DUNGEON_TITLE_TYPE_DMG	Danno
DUNGEON_TYPE_COUNT	Completed
DUNGEON_TYPE_TIME	Quickest Run
DUNGEON_TYPE_DMG	Highest Boss Danno
MAP_SHADOW_TOWER	Vaal Hazak
MAP_DIABLOS	Diablos
MAP_PYRA	Kulve Taroth
MAP_DEMON	Kushala Daora
TOOLTIP_APPLY_ATTBONUS_SHADOW	Strong Against Shadow +{}%
MAP_EASTER	Easter-Event
PRIVATESHOPSEARCH_TALISMAN	Talisman
PRIVATESHOPSEARCH_TOGGLE_AFFECT	Elixir
PRIVATESHOPSEARCH_COSTUME_WEAPON_EFFECT	Weapon Shinings
PRIVATESHOPSEARCH_COSTUME_ARMOR_EFFECT	Armour Shinings
PRIVATESHOPSEARCH_COSTUME_WING	Wings
PRIVATESHOPSEARCH_COSTUME_TITLE	Titles
PRIVATESHOPSEARCH_PETS_N_MOUNT	Pets & Mounts
PRIVATESHOPSEARCH_LEVEL_PET	Level-Pets
PRIVATESHOPSEARCH_LEVEL_PET_FOOD	Level-Pet-Food
PRIVATESHOPSEARCH_NORMAL_PET	Normal Pets
PRIVATESHOPSEARCH_MOUNT	Mounts
PRIVATESHOPSEARCH_USEFUL_ITEMS	Useful Items
PRIVATESHOPSEARCH_QUEST_ITEMS	Quest Items
PRIVATESHOPSEARCH_USABLE_ITEMS	Usable Items
PRIVATESHOPSEARCH_TIME_ENHANCEMENT	Time Enhancement
PRIVATESHOPSEARCH_SKILLBOOKS	Skillbooks
PRIVATESHOPSEARCH_ACESSORY	Acesorry
PRIVATESHOPSEARCH_FISHING_BAIT	Fishing Bait
PRIVATESHOPSEARCH_FISH	Fish
TOOLTIP_ANTIFLAG_CHANGELOOK	Transmutation
MAP_SLIME_LOW	Anime-Event (20-55)
MAP_SLIME_MID	Anime-Event (100-125)
MAP_SLIME_HIGH	Anime-Event (150)
MAP_SLIME_EXTREME	Anime-Event (150+)
GAME_DUNGEON_REJOIN	Möchtest du Zurück in den Dungeon?
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_SHOPPING	You cannot move items while you are in a Shop.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_EDITING	You cannot move items while you are in a Shop.
OFFLINE_SHOP_CANNOT_MOVE_ITEMS_WHILE_CREATING	You cannot move items while you are in a Shop.
MAP_RATHALOS	Rathalos
MAP_FATALIS	Fatalis
HUNTING_MISSION_1_NAME	Kill Run-End-Bosses
HUNTING_MISSION_2_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_3_NAME	Kill Run-End-Bosses
HUNTING_MISSION_4_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_5_NAME	Kill Run-End-Bosses
HUNTING_MISSION_6_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_7_NAME	Kill Run-End-Bosses
HUNTING_MISSION_8_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_9_NAME	Kill Run-End-Bosses
HUNTING_MISSION_10_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_11_NAME	Kill Run-End-Bosses
HUNTING_MISSION_12_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_13_NAME	Kill Run-End-Bosses
HUNTING_MISSION_14_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_15_NAME	Kill Run-End-Bosses
HUNTING_MISSION_16_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_17_NAME	Kill Run-End-Bosses
HUNTING_MISSION_18_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_19_NAME	Kill Run-End-Bosses
HUNTING_MISSION_20_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_21_NAME	Kill Run-End-Bosses
HUNTING_MISSION_22_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_23_NAME	Kill Run-End-Bosses
HUNTING_MISSION_24_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_25_NAME	Kill Run-End-Bosses
HUNTING_MISSION_26_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_27_NAME	Kill Run-End-Bosses
HUNTING_MISSION_28_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_29_NAME	Kill Run-End-Bosses
HUNTING_MISSION_30_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_31_NAME	Kill Run-End-Bosses
HUNTING_MISSION_32_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_33_NAME	Kill Run-End-Bosses
HUNTING_MISSION_34_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_35_NAME	Kill Run-End-Bosses
HUNTING_MISSION_36_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_37_NAME	Kill Run-End-Bosses
HUNTING_MISSION_38_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_39_NAME	Kill Run-End-Bosses
HUNTING_MISSION_40_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_41_NAME	Kill Run-End-Bosses
HUNTING_MISSION_42_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_43_NAME	Kill Run-End-Bosses
HUNTING_MISSION_44_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_45_NAME	Kill Run-End-Bosses
HUNTING_MISSION_46_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_47_NAME	Kill Run-End-Bosses
HUNTING_MISSION_48_NAME	Kill Farmmap-Metinstones
HUNTING_MISSION_49_NAME	Kill Run-End-Bosses
HUNTING_MISSION_50_NAME	Kill Farmmap-Metinstones
